Item Name,Item Category,Unit Price ($),Discount ($),Date,Time,Hour
LAUHALA MAT,Clothing and Apparel,34.09,6.82,08/31/23,19:22:00,19
OYSTER SAUCE 180Z,Clothing and Apparel,6.79,0.0,10/13/23,19:27:00,19
QRT CK LEMON,Clothing and Apparel,8.99,0.0,10/13/23,19:27:00,19
NY STYLE GRND PORK,Clothing and Apparel,6.49,0.0,10/13/23,19:27:00,19
GREEN CABBAGE,Clothing and Apparel,1.79,0.0,10/13/23,19:27:00,19
REDUCED BANANAS,Clothing and Apparel,1.39,0.0,10/13/23,19:27:00,19
JELLO,Clothing and Apparel,2.9,0.0,07/31/22,20:24:22,20
FIESTA SH 16,Clothing and Apparel,4.78,0.0,07/31/22,20:24:22,20
GAR ULT BF,Clothing and Apparel,6.34,0.0,07/31/22,20:24:22,20
JOSEPH BREAD,Clothing and Apparel,4.52,0.0,07/31/22,20:24:22,20
AVOCADO,Clothing and Apparel,0.92,0.0,07/31/22,20:24:22,20
SNFLWR SEEDS,Clothing and Apparel,1.84,0.0,07/31/22,20:24:22,20
SF CANDY,Clothing and Apparel,3.18,0.0,07/31/22,20:24:22,20
GapKids Disney Mickey Mouse Graphic T-Shirt,Clothing and Apparel,17.49,7.5,03/15/2023,14:20:00,14
GapKids Disney Mickey Mouse Graphic T-Shirt,Clothing and Apparel,24.99,7.5,03/15/2023,14:20:00,14
"Gap Star Wars 4"" Boxers",Clothing and Apparel,6.99,2.8,03/15/2023,14:20:00,14
2 QTY SIG DIET T,Clothing and Apparel,3.0,0.0,02/27/23,19:04:00,19
DEP SFTDK SNGL FS,Clothing and Apparel,0.1,0.0,02/27/23,19:04:00,19
FEE SFTDK SNGL FS,Clothing and Apparel,0.02,0.0,02/27/23,19:04:00,19
1 Md Ice Orig Latte,Clothing and Apparel,5.19,0.0,9/21/2023,24:55 :00,24
1 Chkn RstdPep Wrap,Clothing and Apparel,4.79,0.0,9/21/2023,24:55 :00,24
F 1 CVS LINER UNSC DB 135S,Clothing and Apparel,3.99,0.0,"OCTOBER 15, 2023",11:34 :00,11
F 1 HALLS COOL BRRY CD 70CT,Clothing and Apparel,6.49,0.0,"OCTOBER 15, 2023",11:34 :00,11
BEEF LIVER SLICED,Clothing and Apparel,5.47,0.0,09/17/2023,12:47:17,12
Total,Clothing and Apparel,44.47,0.0,26-Oct-2022,19:07:00,19
BULK CANDY,Clothing and Apparel,31.5,0.0,4/25/22,18:50 :00,18
BH CHORIZO SAUSAGE,Clothing and Apparel,5.94,0.0,08/29/23,19:16:00,19
General,Clothing and Apparel,19.75,0.0,Jul <UNKNOWN>,18:55:00,18
Child,Clothing and Apparel,16.0,0.0,Jul <UNKNOWN>,18:55:00,18
CFRIO SF PEG BAG 3Z,Clothing and Apparel,4.59,0.0,"JULY 3, 2023",14:48 :00,14
CFRIO SF PEG BAG 3Z,Clothing and Apparel,4.59,0.0,"JULY 3, 2023",14:48 :00,14
CFRIO SF PEG BAG 3Z,Clothing and Apparel,4.59,0.0,"JULY 3, 2023",14:48 :00,14
CR GYSR SPR WTR 33.8,Clothing and Apparel,1.29,0.0,"JULY 3, 2023",14:48 :00,14
BOTTLE DEPOSIT,Clothing and Apparel,0.05,0.0,"JULY 3, 2023",14:48 :00,14
HI CONTAINER FEE,Clothing and Apparel,0.01,0.0,"JULY 3, 2023",14:48 :00,14
CR GYSR SPR WTR 33.8,Clothing and Apparel,1.29,0.0,"JULY 3, 2023",14:48 :00,14
BOTTLE DEPOSIT,Clothing and Apparel,0.05,0.0,"JULY 3, 2023",14:48 :00,14
HI CONTAINER FEE,Clothing and Apparel,0.01,0.0,"JULY 3, 2023",14:48 :00,14
Table Games,Clothing and Apparel,2.99,0,07/13/2023,17:34:00,17
Soft Drink,Clothing and Apparel,3.49,0,07/13/2023,17:34:00,17
Calamari,Clothing and Apparel,11.79,0,07/13/2023,17:34:00,17
Soup & Salad,Clothing and Apparel,10.99,0,07/13/2023,17:34:00,17
Gnocchi,Clothing and Apparel,1,0,07/13/2023,17:34:00,17
Kids Strawberry,Clothing and Apparel,2.99,0,07/13/2023,17:34:00,17
Kid CYO Meat Sauce,Clothing and Apparel,6.99,0,07/13/2023,17:34:00,17
Spaghetti Add Meatball,Clothing and Apparel,1.79,0,07/13/2023,17:34:00,17
w/1 MB,Clothing and Apparel,1.79,0,07/13/2023,17:34:00,17
