Receipt Text,Receipt JSON,Merchant Name,Merchant Category,Items
"THANK YOU FOR SHOPPING AT
BEN FRANKLIN CRAFTS #05575 (2)
(808) 261-4621
08/31/23 7:22PM AZRIROS
106
SALE
30149676
2
EA
$34.09 EA
LAUHALA MAT <UNKNOWN>
$68.18
SUB-TOTAL:$
68.18 TAX: $
2.89
DISCOUNT:
-6.82 TOTAL: $
64.25
BC AMT:
$
64.25
","{
    ""ReceiptInfo"": {
        ""merchant"": ""BEN FRANKLIN CRAFTS #05575"",
        ""address"": """",
        ""city"": """",
        ""state"": """",
        ""phoneNumber"": ""(808) 261-4621"",
        ""tax"": 2.89,
        ""total"": 64.25,
        ""receiptDate"": ""08/31/23"",
        ""receiptTime"": ""7:22PM"",
        ""ITEMS"": [
            {
                ""description"": ""LAUHALA MAT"",
                ""quantity"": 2,
                ""unitPrice"": 34.09,
                ""totalPrice"": 68.18,
                ""discountAmount"": 6.82
            }
        ]
    }
}",BEN FRANKLIN CRAFTS #05575,Entertainment and Leisure,"[
    {
        ""Name"": ""LAUHALA MAT"",
        ""Category"": ""Clothing and Apparel""
    }
]"
"Store 215 Dir Dane Elder
Main:(808) 396-6337
377 Keahole Street
HONOLULU HI 96825
00021505202752310131927
YOUR CASHIER TODAY WAS SELF
GROCERY
Price
You Pay
7889530002 OYSTER SAUCE 180Z
6.79
6.79 B
BAKED GOODS
22381100000 QRT CK LEMON
8.99
8.99 B
MEAT
4262900325 NY STYLE GRND PORK
6.49
6.49 B
PRODUCE
4069
GREEN CABBAGE
7.98
7.98 B
WT
4.46 <UNKNOWN> @ $1.79 /lb
4238
REDUCED BANANAS
4.49
4.49 B
WT
3.23 <UNKNOWN> @ $1.39 /lb
TAX
1.64
****
BALANCE
36.38
Credit Purchase 10/13/23 19:27
<UNKNOWN> # ************1301
<UNKNOWN> <UNKNOWN> AUTH: <UNKNOWN>
PAYMENT AMOUNT
36.38
AL VISA CREDIT
AID A0000000031010
TVR 0000000000
TSI 0000
Visa
36.38
CHANGE
0.00
YOUR REWARDS
Points Towards Next Reward 34 of 100
TOTAL NUMBER OF ITEMS SOLD =
5
10/13/23 19:27 215 52 275
8852
Thank you for shopping <UNKNOWN>
For SAFEWAY FOR <UNKNOWN> questions call
877-276-9637 or Safeway.com/foru
","{
    ""ReceiptInfo"": {
        ""merchant"": ""Store 215 Dir Dane Elder"",
        ""address"": ""377 Keahole Street"",
        ""city"": ""HONOLULU"",
        ""state"": ""HI"",
        ""phoneNumber"": ""(808) 396-6337"",
        ""tax"": 1.64,
        ""total"": 36.38,
        ""receiptDate"": ""10/13/23"",
        ""receiptTime"": ""19:27"",
        ""ITEMS"": [
            {
                ""description"": ""OYSTER SAUCE 180Z"",
                ""quantity"": 1,
                ""unitPrice"": 6.79,
                ""totalPrice"": 6.79,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""QRT CK LEMON"",
                ""quantity"": 1,
                ""unitPrice"": 8.99,
                ""totalPrice"": 8.99,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""NY STYLE GRND PORK"",
                ""quantity"": 1,
                ""unitPrice"": 6.49,
                ""totalPrice"": 6.49,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""GREEN CABBAGE"",
                ""quantity"": 4.46,
                ""unitPrice"": 1.79,
                ""totalPrice"": 7.98,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""REDUCED BANANAS"",
                ""quantity"": 3.23,
                ""unitPrice"": 1.39,
                ""totalPrice"": 4.49,
                ""discountAmount"": 0.0
            }
        ]
    }
}",Store 215 Dir Dane Elder,Grocery and Supermarket,"[
    {
        ""Name"": ""OYSTER SAUCE 180Z"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""QRT CK LEMON"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""NY STYLE GRND PORK"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""GREEN CABBAGE"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""REDUCED BANANAS"",
        ""Category"": ""Clothing and Apparel""
    }
]"
"Give us feedback @ survey walmart.
Thank you! ID # 7RGCGC16NN79
Walmart
808-955-8441 Mgr:WALTER
700 KEEAUMOKU ST
HONOLULU HI 96814
ST# 03478 OP# 009030 TE# 30 TR# 05543
JELLO
004300004608 F
2.90 T
FIESTA SH 16
007874212277 F
4.78 T
GAR ULT BF
084223400098 F
6.34 T
JOSEPH BREAD
007684525005 F
4.52 T
AVOCADO
076101004046 F
0.92 X
SNFLWR SEEDS 002620046072 F
1.84 X
SF CANDY
007296564175 F
3.18 X
SF CANDY
007296564175 F
3.18 X
SF CANDY
007296564175 F
3.18 X
SF CANDY
007296564175 F
3.18 X
TAX 1
1.60
SUBTOTAL
34.02
TOTAL
35.62
DEBIT TEND
35.62
DEBIT CASH BACK
60.00
TOTAL DEBIT PURCHASE
95.62
CHANGE DUE
60.00
EFT DEBIT
PAY FROM PRIMARY
35.62
PURCHASE
60.00
CASH BACK
95.62
TOTAL PURCHASE
US DEBIT
**** **** **** 5184 I 2
REF # 221300826771
NETWORK ID. 0090 APPR CODE 001924
US DEBIT
ATD A0000000042203
TC 3779DA495DDAE963
*Pin Verified
TERMINAL # SC010129
07/31/22
20:24:22
# ITEMS SOLD 10
TC# 9595 5738 5892 5546 1987
Walmart
Become a
member today
Scan for 30-day free trial.
Low Prices You Can Trust. Every Day.
07/31/22
20:24:30
","{
    ""ReceiptInfo"": {
        ""merchant"": ""Walmart"",
        ""address"": ""700 KEEAUMOKU ST"",
        ""city"": ""HONOLULU"",
        ""state"": ""HI"",
        ""phoneNumber"": ""808-955-8441"",
        ""tax"": 1.6,
        ""total"": 35.62,
        ""receiptDate"": ""07/31/22"",
        ""receiptTime"": ""20:24:22"",
        ""ITEMS"": [
            {
                ""description"": ""JELLO"",
                ""quantity"": 1,
                ""unitPrice"": 2.9,
                ""totalPrice"": 2.9,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""FIESTA SH 16"",
                ""quantity"": 1,
                ""unitPrice"": 4.78,
                ""totalPrice"": 4.78,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""GAR ULT BF"",
                ""quantity"": 1,
                ""unitPrice"": 6.34,
                ""totalPrice"": 6.34,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""JOSEPH BREAD"",
                ""quantity"": 1,
                ""unitPrice"": 4.52,
                ""totalPrice"": 4.52,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""AVOCADO"",
                ""quantity"": 1,
                ""unitPrice"": 0.92,
                ""totalPrice"": 0.92,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""SNFLWR SEEDS"",
                ""quantity"": 1,
                ""unitPrice"": 1.84,
                ""totalPrice"": 1.84,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""SF CANDY"",
                ""quantity"": 4,
                ""unitPrice"": 3.18,
                ""totalPrice"": 12.72,
                ""discountAmount"": 0.0
            }
        ]
    }
}",Walmart,Grocery and Supermarket,"[
    {
        ""Name"": ""JELLO"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""FIESTA SH 16"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""GAR ULT BF"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""JOSEPH BREAD"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""AVOCADO"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""SNFLWR SEEDS"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""SF CANDY"",
        ""Category"": ""Clothing and Apparel""
    }
]"
"GAP OUTLET <UNKNOWN> 02392
20 CITY <UNKNOWN> SPACE 1560
ORANGE CA 92868
Tel. (714) 938-9970
03/15/2023
02:20:54 PM
Trans.: 1868
Store: 02392
<UNKNOWN>
Cashier: 3150109
Valid No: 1683
SALE
023923031868202303151683
GapKids <UNKNOWN> Disney Mickey Mouse
17.49 T
Graphic T-Shirt
597883-001-0202
24.99
Item Discount 30.0%
-7.50
30 %-SS LICENSE
GapKids &#124 Disney Mickey Mouse
<UNKNOWN>
Graphic T-Shirt
597883-001-0502
<UNKNOWN>
Item Discount 30.0%
-7.50
30 %-SS LICENSE
Gap <UNKNOWN> Star Wars&#153 4"" Boxers
4.19 T
401675-001-0002
1 6.99
Item Discount 40.0%
-2.80
40% MKDS
Total Discount
17.80
Subtotal
39.17
T1 Taxable Amount
39.17
T1 (7.75%) Tax
3.04
Total Tax
3.04
Total
42.21
Cash
50.00
Total Tender
50.00
Change Due
-7.79
We would love to hear your feedback!
Please take our two <UNKNOWN> survey:
<UNKNOWN>
Unwashed and unworn <UNKNOWN>
accompanied by an original sales
<UNKNOWN> may be returned to any U.S.
store within 30 days of purchase for
full refund in original form of <UNKNOWN>
A one-time price adjustment may be nade
within 14 days of purchase with an
original receipt. Final Sale items are not eligible for
returns or adjustments.
Gap Outlet Store merchandise cannot
be returned at a Gap Store.
Valid photo ID required for unreceipted returns.
Exchange or merchandise return card for
current selling price. Information from
your ID may be captured and retained by
<UNKNOWN> third-party provider Gap Outlet
uses to authorize returns and prevent
fraud. For inquiries, call
1-800-652-2331 or visit theretailequation.com
Additional terms and restrictions apply.
See store for full return policy details.
","{
    ""ReceiptInfo"": {
        ""merchant"": ""GAP OUTLET"",
        ""address"": ""20 CITY SPACE 1560"",
        ""city"": ""ORANGE"",
        ""state"": ""CA"",
        ""phoneNumber"": ""(714) 938-9970"",
        ""tax"": 3.04,
        ""total"": 42.21,
        ""receiptDate"": ""03/15/2023"",
        ""receiptTime"": ""02:20:54 PM"",
        ""ITEMS"": [
            {
                ""description"": ""GapKids Disney Mickey Mouse Graphic T-Shirt"",
                ""quantity"": 1,
                ""unitPrice"": 17.49,
                ""totalPrice"": 17.49,
                ""discountAmount"": 7.5
            },
            {
                ""description"": ""GapKids Disney Mickey Mouse Graphic T-Shirt"",
                ""quantity"": 1,
                ""unitPrice"": 24.99,
                ""totalPrice"": 17.49,
                ""discountAmount"": 7.5
            },
            {
                ""description"": ""Gap Star Wars 4\"" Boxers"",
                ""quantity"": 1,
                ""unitPrice"": 6.99,
                ""totalPrice"": 4.19,
                ""discountAmount"": 2.8
            }
        ]
    }
}",GAP OUTLET,Clothing and Apparel,"[
    {
        ""Name"": ""GapKids Disney Mickey Mouse Graphic T-Shirt"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""GapKids Disney Mickey Mouse Graphic T-Shirt"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""Gap Star Wars 4\"" Boxers"",
        ""Category"": ""Clothing and Apparel""
    }
]"
"SAFEWAY
<UNKNOWN>
Store 204 Dir Kaipo Ah Mook Sang
Main : (808) 988-2058
2855 East Manoa Road
HONOLULU HI 96822
GROCERY
2 QTY SIG DIET T
3.00 B
DEP SFTDK SNGL FS
0.10 S
FEE SFTDK SNGL FS
0.02 B
Regular Price
3.98
Member Savings
0.98-
TAX
0.14
**** BALANCE
3.26
Credit Purchase 02/27/23 19:04
CARD #
<UNKNOWN> 250453421300 AUTH: 0002961D
PAYMENT AMOUNT
3.26
AL VISA CREDIT
AID A0000000031010
TVR 0000000000
TSI 0000
Visa
3.26
CHANGE
0.00
TOTAL NUMBER OF ITEMS SOLD =
6
02/27/23 19:04 204 52 119
8852
REWARDS AVAILABLE
5
POINTS EARNED TODAY
Base Points 3
Total 3
Points Towards Next Reward 73 of 100
YOUR CASHIER TODAY WAS SELF
YOUR SAVINGS
Member Savings
0.98
Total
0.98
Total Savings Value
24%
00020405201192302271904
Thank you for shopping Safeway!
For SAFEWAY FOR U questions call
877-276-9637 or Safeway.com/foru
","{
    ""ReceiptInfo"": {
        ""merchant"": ""SAFEWAY"",
        ""address"": ""2855 East Manoa Road"",
        ""city"": ""HONOLULU"",
        ""state"": ""HI"",
        ""phoneNumber"": ""(808) 988-2058"",
        ""tax"": 0.14,
        ""total"": 3.26,
        ""receiptDate"": ""02/27/23"",
        ""receiptTime"": ""19:04"",
        ""ITEMS"": [
            {
                ""description"": ""2 QTY SIG DIET T"",
                ""quantity"": 1,
                ""unitPrice"": 3.0,
                ""totalPrice"": 3.0,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""DEP SFTDK SNGL FS"",
                ""quantity"": 1,
                ""unitPrice"": 0.1,
                ""totalPrice"": 0.1,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""FEE SFTDK SNGL FS"",
                ""quantity"": 1,
                ""unitPrice"": 0.02,
                ""totalPrice"": 0.02,
                ""discountAmount"": 0.0
            }
        ]
    }
}",SAFEWAY,Grocery and Supermarket,"[
    {
        ""Name"": ""2 QTY SIG DIET T"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""DEP SFTDK SNGL FS"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""FEE SFTDK SNGL FS"",
        ""Category"": ""Clothing and Apparel""
    }
]"
"Welcome to <UNKNOWN>
Store #: 357424
2560 McCarthy Mall
Honolulu, HI 96822
(808) 956-6728
128321 Robert
CHK 438
9/21/2023 12:55 PM
Eat In
1 Md Ice Orig Latte
5.19
1 Chkn RstdPep Wrap
4.79
Visa
$10.45
2130
Tran Type : Purchase
Entry Mode : TAPPED
Auth Code : 08206D
VISA CREDIT
AID: A0000000031010
No Signature Required
I agree to pay the above total
amount according to the card
issuer
(merchant agreement if credit
voucher)
Subtotal
$9.98
HI TAX
$0.47
Payment
$10.45
Change Due
$0.00
Check Closed
9/21/2023 12:56 PM
Donut forget to tell us about
today's visit! Talk to us at
<UNKNOWN>
within 3 days and receive a
FREE CLASSIC DONUT
on your next visit when you
purchase a Medium or Larger Beverage
See restrictions on dunkindonuts.com
Survey Code: 43801-57424-1209-2134
Additional Discounts Will Not Be
Applied to Promotional <UNKNOWN>
Mahalo! Come Back Again.
Additional Discounts Will Not Be
Applied to Promotional <UNKNOWN>
","{
    ""ReceiptInfo"": {
        ""merchant"": ""<UNKNOWN>"",
        ""address"": ""2560 McCarthy Mall"",
        ""city"": ""Honolulu"",
        ""state"": ""HI"",
        ""phoneNumber"": ""(808) 956-6728"",
        ""tax"": 0.47,
        ""total"": 9.98,
        ""receiptDate"": ""9/21/2023"",
        ""receiptTime"": ""12:55 PM"",
        ""ITEMS"": [
            {
                ""description"": ""1 Md Ice Orig Latte"",
                ""quantity"": 1,
                ""unitPrice"": 5.19,
                ""totalPrice"": 5.19,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""1 Chkn RstdPep Wrap"",
                ""quantity"": 1,
                ""unitPrice"": 4.79,
                ""totalPrice"": 4.79,
                ""discountAmount"": 0.0
            }
        ]
    }
}",<UNKNOWN>,Restaurants and Food Services,"[
    {
        ""Name"": ""1 Md Ice Orig Latte"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""1 Chkn RstdPep Wrap"",
        ""Category"": ""Clothing and Apparel""
    }
]"
"Longs <UNKNOWN> <UNKNOWN>
2470 S KING ST
HONOLULU, HI 96826
808.947.2651
REG#13 TRN#4266 CSHR#0000092 STR#9954
ExtraCare Card <UNKNOWN>
********7703
F 1 CVS LINER UNSC DB
135S
3.99N
F 1 CVS LINER UNSC DB 135S 3.99N
F 1 HALLS COOL BRRY CD 70CT 6.49T
3 ITEMS
SUBTOTAL
14.47
HI 4.712% TAX
.31
TOTAL
14.78
CASH
20.00
CHANGE
5.22
3509 9543 2884 2661 38
Returns with receipt, subject to
CVS Return Policy, thru 12/14/2023
Refund amount is based on price
after all coupons and <UNKNOWN>
OCTOBER 15, 2023
11:34 AM
Feeling sick? We offer COVID+FLU testing
in select CVS Locations, two tests in
one swab. Appointments are required.
Results available in 1 to 3 days. Make
your appointment today at CVS.com. Flu
test recommended within 1-2 days of
symptom onset.
The sales tax on period products is $0.38,
which CVS paid on your behalf.
F=FLEXIBLE SPENDING ACCT SUMMARY (FSA)
Health Care Eligible Total 14.78
FSA summary above includes items
<UNKNOWN> tax) that may be eligible for plan
reimbursement. Restrictions may apply.
THANK YOU. OPEN 24 HOURS 7 DAYS A WEEK
ExtraCare Card balances as of 09/12
Year to Date Savings
93.93
Fill 10 prescriptions Get $5EB
Pharmacy and Health ExtraBucks
Quantity Toward this Reward
15
Quantity Needed to Earn Reward
5
Pharmacy & Health Rewards Enrollment Status
Active Members
2
Access all coupons & rewards, and
track your 2% earnings in the CVS
Pharmacy app!
","{
    ""ReceiptInfo"": {
        ""merchant"": ""Longs"",
        ""address"": ""2470 S KING ST"",
        ""city"": ""HONOLULU"",
        ""state"": ""HI"",
        ""phoneNumber"": ""808.947.2651"",
        ""tax"": 0.31,
        ""total"": 14.47,
        ""receiptDate"": ""OCTOBER 15, 2023"",
        ""receiptTime"": ""11:34 AM"",
        ""ITEMS"": [
            {
                ""description"": ""F 1 CVS LINER UNSC DB 135S"",
                ""quantity"": 3,
                ""unitPrice"": 3.99,
                ""totalPrice"": 11.97,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""F 1 HALLS COOL BRRY CD 70CT"",
                ""quantity"": 1,
                ""unitPrice"": 6.49,
                ""totalPrice"": 6.49,
                ""discountAmount"": 0.0
            }
        ]
    }
}",Longs,Home and Garden,"[
    {
        ""Name"": ""F 1 CVS LINER UNSC DB 135S"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""F 1 HALLS COOL BRRY CD 70CT"",
        ""Category"": ""Clothing and Apparel""
    }
]"
"<UNKNOWN>
<UNKNOWN>
<UNKNOWN>
09/17/2023
12:47:17
MID 000090774208
TID:
002
012941
CREDIT CARD
PURCHASE
CARD <UNKNOWN>
<UNKNOWN>
Chip Card:
Discover
AID:
A0000001523010
ATC
009B
TC:
851A3C82A572C230
TSI: E800
ARC: 01718R
<UNKNOWN>
540100179
Approval <UNKNOWN>
01718R
Entry Method:
Chip Read
<UNKNOWN>
Issuer
SALE AMOUNT
$5.73
APPROVED BY ISSUER
BEEF LIVER SLICED
$5.47 T F
SUB TOTAL
$5.47
TOTAL TAX
$0.26
1 BALANCE DUE
$5.73
Discover
$5.73
Auth Code = 01718R
CHANGE
$0.00
YOUR SAVINGS TODAY!
EDLP / AD SAVINGS
$0.68
CASHIER NAME: RENEE
<UNKNOWN> <UNKNOWN> CASHIER <UNKNOWN> 0128
TICKET#:3024
17SEP2023 12:47:20
Thank You For Shopping With Us!
Store <UNKNOWN> Jamie DePrizio
1772 South King Street 973-5868
Visit Us At <UNKNOWN>
","{
    ""ReceiptInfo"": {
        ""merchant"": ""<UNKNOWN>"",
        ""address"": ""<UNKNOWN>"",
        ""city"": ""<UNKNOWN>"",
        ""state"": ""<UNKNOWN>"",
        ""phoneNumber"": ""<UNKNOWN>"",
        ""tax"": 0.26,
        ""total"": 5.47,
        ""receiptDate"": ""09/17/2023"",
        ""receiptTime"": ""12:47:17"",
        ""ITEMS"": [
            {
                ""description"": ""BEEF LIVER SLICED"",
                ""quantity"": 1,
                ""unitPrice"": 5.47,
                ""totalPrice"": 5.47,
                ""discountAmount"": 0.0
            }
        ]
    }
}",<UNKNOWN>,Grocery and Supermarket,"[
    {
        ""Name"": ""BEEF LIVER SLICED"",
        ""Category"": ""Clothing and Apparel""
    }
]"
"STE 2041960 KAPIOLANI BLVD
PHO 777
HONOLULU, HI 968263975
8089557770
Cashier: Gravity Payments
Transaction 300019
Total
$44.47
CREDIT CARD AUTH
$44.47
VISA 2130
Tip
Total
Retain this copy for statement
validation
26-Oct-2022 7:07:53P
$44.47 I Method: EMV
VISA CREDIT
<UNKNOWN>
MAHDI BELCAID
Reference ID: 230000597536
Auth ID: 02601D
MID: ****7787
AID: A0000000031010
AthNtwkNm: VISA
SIGNATURE VERIFIED
Payment <UNKNOWN>
Clover Privacy Policy
https://clover.com/privacy
","{
    ""ReceiptInfo"": {
        ""merchant"": ""PHO 777"",
        ""address"": ""STE 2041960 KAPIOLANI BLVD"",
        ""city"": ""HONOLULU"",
        ""state"": ""HI"",
        ""phoneNumber"": ""8089557770"",
        ""tax"": 0.0,
        ""total"": 44.47,
        ""receiptDate"": ""26-Oct-2022"",
        ""receiptTime"": ""7:07:53P"",
        ""ITEMS"": [
            {
                ""description"": ""Total"",
                ""quantity"": 1,
                ""unitPrice"": 44.47,
                ""totalPrice"": 44.47,
                ""discountAmount"": 0.0
            }
        ]
    }
}",PHO 777,Restaurants and Food Services,"[
    {
        ""Name"": ""Total"",
        ""Category"": ""Clothing and Apparel""
    }
]"
"<UNKNOWN>
2HI001 See's Candies, Inc <UNKNOWN> )
4211 <UNKNOWN> Ave
Honolulu, HI 96816
808-737-9592
www.sees.com
Store: 701
Date: 4/25/22
<UNKNOWN> 1
Ticket: 482292
Time: 6:50 PM
Cashier: 070100000032
Welcome to our store!
Item
Qty
Price
Amount
BULK CANDY
BULK
0.3200
31.50
10.08
Subtotal
10.08
HI1 Candy
0.47
Total
10.55
Visa
10.55
2925
Auth #: 09604D
Transaction Type: Sale
Entry Method: Contactless
Auth Time: 6:50 PM
Trace <UNKNOWN> CREDIT-69967
Card Holder Name: CARDHOLDER/VISA
AID A0000000031010
TVR 0000000000
TSI 0000
ARC 00
APP VISA CREDIT
0.00
Change
Thank you for shopping at See's <UNKNOWN>
Come back soon.
Now Hiring!
Join a sweet team and apply at:
Sees.com/careers or scan the QR code below:
Sold Item Count = 1
<UNKNOWN>
Customer Copy
","{
    ""ReceiptInfo"": {
        ""merchant"": ""See's Candies, Inc"",
        ""address"": ""4211 <UNKNOWN> Ave"",
        ""city"": ""Honolulu"",
        ""state"": ""HI"",
        ""phoneNumber"": ""808-737-9592"",
        ""tax"": 0.47,
        ""total"": 10.55,
        ""receiptDate"": ""4/25/22"",
        ""receiptTime"": ""6:50 PM"",
        ""ITEMS"": [
            {
                ""description"": ""BULK CANDY"",
                ""quantity"": 0.32,
                ""unitPrice"": 31.5,
                ""totalPrice"": 10.08,
                ""discountAmount"": 0.0
            }
        ]
    }
}","See's Candies, Inc",Grocery and Supermarket,"[
    {
        ""Name"": ""BULK CANDY"",
        ""Category"": ""Clothing and Apparel""
    }
]"
