Item Name,Item Category,Unit Price ($),Discount ($),Tax ($),Time
Smartphone,Electronics,379.22,47.85,25.15,2021-08-21 10:59:09
Laptop,Electronics,203.06,47.75,12.48,2021-10-15 08:02:42
Laptop,Electronics,179.67,48.06,9.46,2020-03-03 21:22:01
Burger,Food Services,141.64,32.12,12.25,2021-02-06 05:06:57
T-shirt,Retail,493.64,78.87,49.99,2022-03-05 05:42:11
Burger,Food Services,155.76,34.1,17.02,2022-01-24 20:41:51
Jeans,Retail,236.6,7.15,21.43,2021-09-21 01:02:19
Coffee,Food Services,483.34,69.17,56.55,2021-04-16 04:19:04
T-shirt,Retail,32.08,8.84,3.29,2022-01-10 08:49:20
Nails,Home Improvement,360.13,43.09,42.0,2021-07-10 05:02:53
Hammer,Home Improvement,306.34,76.1,19.18,2022-06-25 06:03:31
Jeans,Retail,352.12,6.65,48.95,2020-12-05 08:08:06
Coffee,Food Services,120.07,34.85,11.11,2022-02-23 00:05:23
Laptop,Electronics,46.52,13.86,4.49,2020-08-04 08:30:00
Laptop,Electronics,55.42,9.17,5.58,2021-03-13 19:40:35
Jeans,Retail,407.42,66.04,49.97,2020-08-05 02:06:01
T-shirt,Retail,223.05,39.9,16.21,2020-05-27 07:32:49
Coffee,Food Services,145.87,8.29,9.45,2022-08-18 14:28:01
T-shirt,Retail,238.79,6.43,29.22,2021-01-24 03:33:11
Burger,Food Services,461.77,116.71,48.25,2022-04-07 07:24:40
Smartphone,Electronics,419.09,65.95,36.08,2022-07-24 00:32:08
Coffee,Food Services,424.89,114.09,33.87,2020-08-16 07:07:05
Smartphone,Electronics,290.27,39.24,29.13,2021-04-26 19:08:22
Jeans,Retail,42.1,7.74,3.39,2020-06-02 10:09:51
Jeans,Retail,422.69,30.82,48.26,2020-04-24 13:19:01
Nails,Home Improvement,352.96,39.4,21.02,2022-11-28 12:46:09
Smartphone,Electronics,408.14,12.32,25.58,2021-05-27 22:38:40
Coffee,Food Services,23.57,4.06,2.75,2022-01-03 10:45:22
Nails,Home Improvement,14.32,2.73,1.28,2022-05-19 15:22:00
Nails,Home Improvement,196.21,21.79,25.82,2020-06-05 10:24:47
Hammer,Home Improvement,303.15,17.7,41.98,2021-07-03 14:17:48
Nails,Home Improvement,240.14,52.39,10.53,2021-11-05 11:05:57
Hammer,Home Improvement,272.57,50.75,29.63,2021-05-06 04:40:02
