Vendor Name,Number of Items,Total Price ($),Discount ($),Tax ($),Category,Time
Home Depot,14,25.04,7.25,1.75,Home Improvement,2022-12-15 05:07:42
Starbucks,16,182.23,48.75,9.59,Food Services,2021-04-19 04:15:00
Starbucks,5,379.12,70.33,23.17,Food Services,2022-12-08 14:53:57
Best Buy,20,451.57,42.02,50.37,Electronics,2022-11-30 03:33:36
KFC,11,238.71,7.21,21.63,Food Services,2022-04-20 11:45:30
KFC,7,483.47,69.19,56.56,Food Services,2021-07-22 07:55:43
Walmart,18,458.42,12.83,59.71,Retail,2022-07-06 16:05:00
KFC,1,307.89,76.49,19.28,Food Services,2022-07-22 05:22:45
Target,3,99.58,16.95,6.1,Retail,2021-04-21 16:17:16
Best Buy,15,50.15,14.94,4.84,Electronics,2022-12-26 13:16:58
Lowe's,4,154.22,13.47,8.79,Home Improvement,2021-09-16 10:55:08
Best Buy,7,482.1,87.24,42.95,Electronics,2021-12-12 15:11:48
Costco,20,399.98,38.04,26.86,Retail,2021-05-23 19:33:41
McDonalds,6,21.32,6.28,1.14,Food Services,2021-02-23 15:50:32
Costco,5,439.0,121.61,42.61,Retail,2022-11-29 15:09:37
Burger King,18,343.33,86.3,26.33,Food Services,2022-02-10 06:52:20
McDonalds,7,448.04,79.28,53.46,Food Services,2022-03-27 06:17:53
Starbucks,15,248.86,47.87,24.12,Food Services,2022-09-09 04:39:05
Target,3,165.54,5.73,17.37,Retail,2021-09-18 09:53:40
McDonalds,8,13.02,1.06,1.44,Food Services,2021-10-16 23:42:16
Ross,11,215.93,4.03,27.19,Retail,2022-10-27 08:22:09
Burger King,8,27.39,4.72,3.2,Food Services,2022-02-19 22:10:18
Subway,3,18.21,3.47,1.63,Food Services,2022-03-24 08:32:28
Costco,13,50.31,12.59,2.32,Retail,2022-04-16 07:24:57
Walmart,7,480.71,26.68,28.33,Retail,2021-06-13 13:25:50
Burger King,2,468.8,3.2,43.1,Food Services,2021-03-20 20:06:04
Starbucks,3,114.31,22.19,7.83,Food Services,2021-05-21 01:22:09
Walmart,17,236.23,42.27,23.26,Retail,2021-10-31 21:55:01
McDonalds,9,182.48,40.05,19.06,Food Services,2022-12-15 09:44:47
Subway,6,350.36,21.38,41.69,Food Services,2022-09-05 13:28:10
KFC,6,423.49,43.49,28.53,Food Services,2022-04-09 12:59:52
Lowe's,6,11.54,2.36,1.29,Home Improvement,2022-11-11 11:32:29
Best Buy,10,326.22,38.03,33.36,Electronics,2021-04-30 03:49:16
Best Buy,1,231.69,5.5,28.03,Electronics,2022-02-27 18:51:03
Starbucks,5,123.86,35.42,7.54,Food Services,2021-08-12 14:25:59
KFC,12,297.19,79.52,29.47,Food Services,2021-04-13 19:04:34
