Vendor Name,Number of Items,Total Price ($),Discount ($),Tax ($)
Home Depot,14,25.04,7.25,1.75
Starbucks,16,182.23,48.75,9.59
Ross,10,74.17,2.11,9.36
Best Buy,20,451.57,42.02,50.37
KFC,11,238.71,7.21,21.63
Subway,7,483.47,69.19,56.56
Starbucks,2,403.49,66.42,17.33
Burger King,13,356.58,83.98,30.67
Subway,16,414.89,41.46,45.94
Burger King,3,99.58,16.95,6.1
Ross,18,226.74,5.47,18.15
Best Buy,16,58.98,9.75,5.94
Best Buy,11,408.16,66.16,50.06
Subway,18,295.87,39.5,28.11
Home Depot,11,289.95,25.25,18.25
Ross,2,308.32,60.74,24.18
Costco,5,439.0,121.61,42.61
Burger King,18,343.33,86.3,26.33
Best Buy,8,425.5,114.25,33.92
Home Depot,19,141.23,20.87,13.74
Burger King,12,45.77,8.41,3.69
KFC,11,423.31,30.86,48.33
Costco,8,189.17,9.68,16.62
Walmart,4,392.64,100.75,20.98
Subway,18,303.07,6.73,18.5
McDonalds,20,415.89,14.93,23.72
Costco,2,304.72,17.79,42.2
Burger King,4,242.22,52.84,10.63
KFC,1,274.4,51.09,29.83
Costco,8,40.63,3.67,3.46
Walmart,17,236.23,42.27,23.26
Home Depot,7,133.77,36.29,9.46
Subway,6,350.36,21.38,41.69
KFC,6,423.49,43.49,28.53
Subway,15,334.47,1.32,39.35
Subway,17,459.17,89.39,32.86
KFC,9,80.94,16.77,6.15
Costco,11,370.81,60.55,19.7
Lowe's,12,307.02,62.02,26.71
KFC,20,70.51,6.56,7.98
KFC,3,5.75,0.33,0.45
McDonalds,8,320.51,36.41,39.08
Subway,14,20.62,5.39,1.63
KFC,2,87.01,1.67,10.25
Lowe's,17,443.05,120.69,35.59
Walmart,2,249.82,23.39,21.89
Home Depot,7,276.54,79.9,29.07
Burger King,5,493.48,59.49,51.15
Target,1,110.69,23.82,4.36
KFC,17,307.97,17.6,32.18
McDonalds,10,143.59,42.15,6.09
Home Depot,3,15.81,4.33,1.49
Costco,9,71.04,11.1,6.9
Target,4,436.57,36.46,20.75
Walmart,7,342.09,57.3,41.19
Subway,2,423.95,122.25,33.42
Lowe's,15,321.87,35.96,29.68
McDonalds,13,295.63,0.79,19.19
Target,11,395.86,85.33,26.03
Subway,2,25.4,1.25,3.58
Starbucks,12,200.42,32.98,13.28
Lowe's,8,467.21,43.15,57.55
Burger King,3,154.82,38.81,9.27
Costco,4,282.61,40.8,20.24
Target,4,242.15,50.82,17.73
Starbucks,11,368.7,98.93,38.3
KFC,19,190.91,55.82,15.39
Costco,3,103.03,6.83,8.51
Costco,13,280.45,24.38,36.37
Subway,7,214.4,23.69,28.39
Starbucks,19,389.66,50.41,29.13
Costco,1,451.99,61.24,45.99
Costco,16,201.99,12.56,10.27
McDonalds,20,77.45,4.6,6.4
Best Buy,5,56.85,10.17,4.61
Subway,13,320.99,40.76,28.62
KFC,11,417.6,125.05,33.21
McDonalds,18,306.84,20.14,24.09
Burger King,11,409.97,4.36,26.3
Starbucks,20,393.16,99.35,31.82
Burger King,16,37.85,0.96,5.05
Walmart,3,116.42,1.42,5.93
Lowe's,11,431.64,103.68,44.89
Lowe's,12,254.97,68.93,18.65
Subway,3,340.89,82.34,32.52
Costco,14,453.36,28.03,44.04
Subway,14,413.72,59.85,45.69
Home Depot,20,295.26,75.41,28.54
KFC,1,371.67,33.72,36.17
Target,3,249.29,19.59,30.44
Home Depot,13,405.97,7.58,45.46
Ross,8,147.11,36.63,6.14
Walmart,16,211.84,31.26,24.62
Burger King,3,338.4,15.37,48.03
Home Depot,2,307.83,35.71,14.89
Lowe's,5,15.01,2.69,0.78
Target,4,351.54,68.44,19.67
Lowe's,4,441.23,80.76,34.86
KFC,11,326.98,95.1,28.14
Starbucks,5,479.44,55.76,33.63
Burger King,4,261.91,61.72,13.8
Home Depot,15,188.93,10.8,15.26
KFC,3,478.47,129.46,18.85
Starbucks,1,472.67,94.51,40.53
McDonalds,8,51.27,12.6,5.37
Best Buy,17,212.96,19.51,11.87
Home Depot,19,213.92,5.39,12.61
Costco,4,210.5,9.86,29.18
Lowe's,14,344.78,3.12,48.49
Target,9,43.88,0.93,3.69
Walmart,12,177.2,0.53,26.05
Target,3,300.31,12.91,14.46
KFC,4,375.25,33.01,40.71
Subway,8,430.29,24.14,24.87
Target,9,69.43,20.13,4.25
Lowe's,10,151.69,39.97,11.77
Target,6,298.54,7.24,30.1
Starbucks,6,191.41,8.44,11.44
McDonalds,11,256.62,18.22,16.31
Target,14,333.28,86.08,27.22
Home Depot,3,352.57,13.96,27.07
Home Depot,5,297.58,26.61,23.16
McDonalds,15,318.23,60.82,26.49
Home Depot,14,9.17,2.65,0.91
Lowe's,7,188.94,53.98,7.98
Ross,4,142.1,23.8,14.06
Burger King,15,464.49,25.83,40.43
Ross,8,479.97,49.01,44.1
Target,15,317.6,8.24,38.83
Starbucks,1,415.94,56.04,34.62
McDonalds,10,61.66,18.11,3.49
Subway,5,214.98,48.46,9.87
Lowe's,8,274.15,33.33,27.26
Walmart,4,138.69,27.81,5.55
Home Depot,17,445.83,94.96,33.14
Burger King,9,180.14,47.09,15.6
McDonalds,20,47.2,1.0,3.52
Best Buy,11,63.5,16.37,6.55
Ross,3,210.34,18.28,19.59
Subway,17,315.43,50.28,24.15
KFC,18,204.69,47.81,20.21
Starbucks,15,189.04,35.66,10.08
Burger King,4,193.81,34.37,10.2
KFC,10,180.26,25.56,14.16
Lowe's,16,348.87,33.31,36.35
Walmart,15,153.59,34.34,6.59
Subway,7,17.65,2.5,2.1
Walmart,17,489.56,100.88,22.6
Burger King,13,8.18,0.1,0.91
Starbucks,10,364.91,24.82,42.57
Starbucks,7,57.2,7.91,4.09
Ross,11,213.75,57.53,14.61
Lowe's,5,264.46,10.25,35.85
Lowe's,12,395.72,46.17,45.68
Home Depot,8,398.81,52.56,24.39
Burger King,2,453.38,4.53,50.86
Ross,12,33.21,6.36,1.81
Subway,10,308.19,65.18,24.6
Starbucks,12,208.66,3.38,24.57
KFC,18,465.23,130.37,36.2
Lowe's,9,353.54,22.85,25.33
Walmart,2,85.61,0.1,9.87
Ross,3,394.41,80.52,46.16
