Vendor Name,Category,Number of Items,Total Price ($),Discount ($),Tax ($),Date,Time,Hour
BEN FRANKLIN CRAFTS #05575,Entertainment and Leisure,2.0,64.25,6.82,2.89,08/31/23,19:22:00,19
Store 215 Dir Dane Elder,Grocery and Supermarket,10.69,36.38,0.0,1.64,10/13/23,19:27:00,19
Walmart,Grocery and Supermarket,10.0,35.62,0.0,1.6,07/31/22,20:24:22,20
GAP OUTLET,Clothing and Apparel,3.0,42.21,17.8,3.04,03/15/2023,14:20:00,14
SAFEWAY,Grocery and Supermarket,3.0,3.26,0.0,0.14,02/27/23,19:04:00,19
<UNKNOWN>,Restaurants and Food Services,2.0,9.98,0.0,0.47,9/21/2023,24:55 :00,24
Longs,Home and Garden,4.0,14.47,0.0,0.31,"OCTOBER 15, 2023",11:34 :00,11
<UNKNOWN>,Grocery and Supermarket,1.0,5.47,0.0,0.26,09/17/2023,12:47:17,12
PHO 777,Restaurants and Food Services,1.0,44.47,0.0,0.0,26-Oct-2022,19:07:00,19
"See's Candies, Inc",Grocery and Supermarket,0.32,10.55,0.0,0.47,4/25/22,18:50 :00,18
SAFEWAY,Grocery and Supermarket,1.0,3.85,0.0,0.28,08/29/23,19:16:00,19
Kahala,Entertainment and Leisure,2.0,35.75,0.0,1.61,Jul <UNKNOWN>,18:55:00,18
Longs Drugs,Grocery and Supermarket,9.0,17.24,0.0,0.77,"JULY 3, 2023",14:48 :00,14
Olive,Restaurants and Food Services,11.0,44.61,0.0,0,07/13/2023,17:34:00,17
SAFEWAY O,Grocery and Supermarket,3.0,10.94,0.0,0.47,<UNKNOWN>,<unknown>,<unknown>
Oahu Honolulu Ala Moana - 808-206-7162,Clothing and Apparel,2.0,48.15,0.0,2.17,08/24/2022,18:52 :00,18
H MART,Grocery and Supermarket,5.61,5.83,0.0,0.26,04/17/22,17:46:00,17
KOZO SUSHI MOILIILI,Restaurants and Food Services,0.0,14.55,0.0,0.0,05/14/22,11:50:15,11
Longs,Entertainment and Leisure,3.0,16.72,0.0,0.75,"MAY 11, 2022",18:44 :00,18
Foodland,Grocery and Supermarket,158.56000000000003,0.0,0.0,5.01,<UNKNOWN>,<unknown>,<unknown>
SAFEWAY,Grocery and Supermarket,2.0,9.1,0.49,0.41,08/19/22,13:39:00,13
COSTCO WHOLESALE,Grocery and Supermarket,17.0,216.89,0.0,9.76,09/28/2023,17:48:00,17
ABC STORES,Grocery and Supermarket,1.0,3.71,0.0,0.16,7/22/2023,20:02:54,20
How doers,Home and Garden,6.0,65.14,0.0,3.07,09/30/23,13:11 :00,13
<UNKNOWN> Drugs,Entertainment and Leisure,2.0,8.36,0.0,<UNKNOWN>,"MAY 2, 2022",9:52 :00,9
PACS UN,Clothing and Apparel,2.0,40.0,0.0,1.79,10/8/23,18:50 :00,18
Krispy Kreme,Restaurants and Food Services,1.0,3.99,0.0,0.0,03/15/2023,13:23 :00,13
Walmart,Grocery and Supermarket,2.0,17.97,0.0,0.81,11/05/23,22:30:53,22
WHOLE FOODS MARKET,Grocery and Supermarket,6.0,29.43,3.01,1.32,05/01/2022,18:15 :00,18
Walmart,Grocery and Supermarkets,2.0,22.08,0.0,0.12,07/04/23,16:20:22,16
KAHEKA STORE,Electronics and Appliances,2.0,4.7,1.5,4.49,09/27/2023,00:11:44,00
WHOLE FOODS MARKET,Grocery and Supermarket,4.0,27.08,0.0,1.22,04/12/2022,19:31 :00,19
Taco Bell 002491,Restaurants and Food Services,4.0,8.65,0.0,0.39,10/13/2023,13:12:00,13
KAHEKA STORE,Grocery and Supermarkets,2.0,2.97,0.0,2.84,09/21/2023,00:44:40,00
COSTCO WHOLESALE,Grocery and Supermarket,14.0,119.54,5.0,5.24,09/17/2023,14:56:00,14
LILIHA BAKERY,Restaurants and Food Services,8.0,49.36,0.0,2.22,10/21/2023,17:46:00,17
THE COUNTER,Restaurants and Food Services,7.0,51.05,0.0,2.3,Jun 8'23,18:54:00,18
KOZO SUSHI,Restaurants and Food Services,3.0,7.61,0.0,0.33,4/7/23,15:36 :00,15
Longs,Grocery and Supermarket,4.0,17.36,0.0,<UNKNOWN>,"JUNE 8, 2023",18:17 :00,18
Sam's Club,Grocery and Supermarket,8.0,74.2,0.0,3.32,05/13/23,19:17:00,19
sam's club,Grocery and Supermarket,9.0,68.17,0.0,3.07,10/24/23,19:15:00,19
COSTCO WHOLESALE,Restaurants and Food Services,4.0,10.43,0.0,0.47,10/10/2023,17:56:00,17
SAFEWAY,Grocery and Supermarket,4.0,7.03,0.0,0.31,06/24/23,15:58:00,15
LEAHI HEALTH MANOA,Restaurants and Food Services,1.0,8.38,0.0,0.38,30-Jul-2023,13:02:00,13
SAFEWAY,Grocery and Supermarket,1.0,5.99,0.0,0.28,10/13/23,19:33:00,19
H MART,Grocery and Supermarket,4.0,36.61,0.0,1.65,06/11/23,21:15:00,21
Oahu <UNKNOWN>,Home and Garden,2.0,57.59,0.0,2.59,10/21/2023,20:36 :00,20
WHOLE FOODS MARKET,Restaurants and Food Services,2.0,14.14,0.0,0.64,11/06/2022,09:52 :00,09
SAFEWAY,Grocery and Supermarket,1.0,3.13,0.0,0.14,06/05/22,15:28:00,15
Walmart,Grocery and Supermarket,19.0,101.4,0.0,4.78,10/04/23,14:24:58,14
ROSS DRESS FOR LESS,Grocery and Supermarket,4.0,46.46,0.0,2.19,08/04/23,17:37:00,17
Grain Exchange,Restaurants and Food Services,1.0,5.0,0.0,0.0,7/12/23,9:10 :00,9
<UNKNOWN>,Home and Garden,3.0,7.98,0.0,0.36,09/27/23,15:53:09,15
KAHEKA STORE,Grocery and Supermarkets,6.0,13.55,0.0,0.61,08/13/2022,20:18:17,20
WHOLE FOODS MARKET,Grocery and Supermarket,5.0,37.46,0.0,1.69,08/02/2023,17:03 :00,17
Foodland,Grocery and Supermarket,4.0,23.11,2.69,1.04,<UNKNOWN>,<unknown>,<unknown>
Walmart,Grocery and Supermarket,4.0,17.09,0.0,0.77,06/12/22,16:12:16,16
H MART,Grocery and Supermarket,5.0,44.45,0.0,2.0,07/15/23,20:16:00,20
KAHEKA STORE,Grocery and Supermarket,8.0,20.39,0.0,0.91,10/08/2023,16:57:40,16
Dunkin,Restaurants and Food Services,1.0,4.99,0.0,0.24,5/5/2022,11:06 :00,11
Dunkin',Restaurants and Food Services,1.0,5.19,0.0,0.24,9/5/2023,8:16 :00,8
SAFEWAY,Grocery and Supermarket,3.0,13.9,0.0,0.63,08/27/23,10:57:00,10
WHOLE FOODS MARKET,Grocery and Supermarket,1.0,5.39,0.0,0.25,06/25/2023,14:44 :00,14
COSTCO WHOLESALE,Grocery and Supermarket,7.0,81.73,0.0,3.68,06/22/2022,16:43:00,16
Panda Express #1866,Restaurants and Food Services,6.0,15.0,0.0,0.66,10/18/2023,15:49:00,15
Panda Express #2150,Restaurants and Food Services,7.0,12.67,0.0,0.57,6/9/2023,11:02:50 ,11
Dunkin',Restaurants and Food Services,1.0,2.49,0.0,0.0,7/10/2023,17:25 :00,17
THE COUNTER,Restaurants and Food Services,3.0,37.0,0.0,1.74,Mar27'23,19:00:00,19
SAFEWAY,Grocery and Supermarket,2.0,7.49,0.0,0.36,07/30/22,11:46:00,11
WHOLE FOODS MARKET,Health and Beauty,1.0,14.13,5.0,0.64,06/23/2023,17:26 :00,17
KAHEKA STORE,Grocery and Supermarket,2.0,7.62,0.0,0.34,09/29/2023,22:20:44,22
Walmart,Grocery and Supermarket,2.0,7.12,0.0,0.32,10/08/23,12:20:17,12
Wal-Mart,Grocery and Supermarket,1.0,10.03,0.0,0.45,10/31/23,12:23:50,12
WHOLE FOODS MARKET,Grocery and Supermarket,10.0,58.22,3.0,2.61,05/04/2022,16:24 :00,16
University of Hawaii - Manoa Bookstore,Entertainment and Leisure,1.0,5.95,0.0,0.0,05/22/2023,22:40:00,22
KOZO SUSHI,Restaurants and Food Services,2.0,7.61,0.0,0.33,4/7/23,15:36 :00,15
Taco Bell 001281,Restaurants and Food Services,8.0,6.26,0.0,0.28,10/4/2023,19:09:00,19
SAFEWAY,Grocery and Supermarket,1.0,4.91,0.0,0.22,05/07/22,14:22:00,14
Walmart,Grocery and Supermarket,7.0,26.68,0.0,1.2,08/12/23,20:08:57,20
Halal Gyro Kabob House,Restaurants and Food Services,1.0,13.99,0.0,0,06-Jul-2023,19:57:00,19
Dunkin',Restaurants and Food Services,1.0,5.59,0.0,0.26,9/25/2023,8:18 :00,8
